Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_IST,Remaining,lat,lon
Kentucky,US,04/27/2020 14:50,4074,208,1122,2020-04-27 14:50:00,2744,37.5726028,-85.1551411
Delaware,US,04/27/2020 14:50,4034,120,911,2020-04-27 14:50:00,3003,38.6920451,-75.4013315
District Of Columbia,US,04/27/2020 14:50,3841,178,657,2020-04-27 14:50:00,3006,38.8936613,-76.9878833
Minnesota,US,04/27/2020 14:50,3602,272,1774,2020-04-27 14:50:00,1556,45.98965870000001,-94.6113288
Oklahoma,US,04/27/2020 14:50,3253,195,2139,2020-04-27 14:50:00,919,34.9550817,-97.2684063
Kansas,US,04/27/2020 14:50,3174,120,503,2020-04-27 14:50:00,2551,38.27312,-98.58218719999999
Nebraska,US,04/27/2020 14:50,3028,56,22,2020-04-27 14:50:00,2950,41.7370229,-99.5873816
Arkansas,US,04/27/2020 14:50,3001,50,987,2020-04-27 14:50:00,1964,35.2048883,-92.4479108
New Mexico,US,04/27/2020 14:50,2726,99,650,2020-04-27 14:50:00,1977,34.5708167,-105.993007
Oregon,US,04/27/2020 14:50,2311,91,0,2020-04-27 14:50:00,2220,43.9792797,-120.737257
South Dakota,US,04/27/2020 14:50,2212,11,1190,2020-04-27 14:50:00,1011,44.6471761,-100.348761
Idaho,US,04/27/2020 14:50,1897,56,867,2020-04-27 14:50:00,974,43.644764200000004,-114.0154071
New Hampshire,US,04/27/2020 14:50,1864,60,550,2020-04-27 14:50:00,1254,43.484913299999995,-71.6553992
West Virginia,US,04/27/2020 14:50,1044,34,225,2020-04-27 14:50:00,785,38.47584060000001,-80.84084150000002
